Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Quote
Curly Coated Retriever,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Curly coated retrievers are excellent swimmers.
Curly Hair Tarantula,Animalia,Arachnida,Araneae,Theraphosidae,Tliltocatl,Tliltocatl albopilosus,,
Cuttlefish,Animalia,Mollusca,Cephalopoda,Decapodiformes,Sepiida,Sepiida,,Found throughout the world's oceans!
Czechoslovakian Wolfdog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,This breed is also known as the Czechoslovakian Vlcak (the name for the German Shepherd).
Dachsador,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,This hybrid dog is also known as a Doxador or a Weinerdor.
Dachshund Mix,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,This Dachshund mix is generally not suited for multi-pet homes because of their high prey drive.
Dachshund,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"The doxie’s actual name, dachshund, directly describes its original purpose. Dachs means badger and hund means hunting in the German language."
Daeodon,Animalia,Chordata,Mammalia,Entelodontidae,Daedon,Daedon shoshonesis,,"Scientists don't know whether daedon had scales, feathers, fur, or something else."
Dalmadoodle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Dalmatians were originally bred to run alongside carriages, and their dalmadoodle descendents have the same long legs and high energy."
Dalmador,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Dalmador breeding skyrocketed after the 16 release of the live-action 101 Dalmatians movie.
Dalmatian Mix,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis familiaris,"These canine’s spots are distinctive in their placement, including different shaped markings, making them unique."
Dalmatian,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Dalmatians are used as firehouse mascots
Damselfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,,Many species of damselfish are known for their territorial and aggressive nature!
Dandie Dinmont Terrier 2,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The Dandie Dinmont Terrier is the only breed recognized by the AKC that is named after a literary character.
Daniff,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,
Danios,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio rerio,These fish make a popular choice for aquarium hobbyists due to their hardy nature.
Danish Swedish Farmdog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,
Dapple Dachshund,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"A Dapple Dachshund’s dappling pattern may be just one spot, or it may be numerous spots and splashes on their coat."
Dark Eyed Junco 2,Animalia,Chordata,Passeriformes,Passerellidae,Junco,,,They are called snowbirds because many subspecies reappear in the winter.
Dark Eyed Junco,Animalia,Chordata,Passeriformes,Passerellidae,Junco,,,They are called snowbirds because many subspecies reappear in the winter.
Darkling Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,,Darkling Beetles have segmented antennae. Each one is divided into eleven segments.
Darwins Fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,Lycalopex fulvipes,It’s not a “true fox.”
Darwins Frog,Animalia,Chordata,Amphibia,Anura,Rhinodermatidae,Rhinoderma,Rhinoderma Darwinii,Camouflages itself as a dead leaf!
Daug,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Because the Daug is so rare, they fetch a pretty penny. Dog lovers can pay up to $3,000 for one of these pups!"
De Brazzas Monkey,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus neglectus,"They forage on plants and fruits and act as seed dispersers, helping their environment."
De Kays Brown Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Storeria,Storeria dekayi,They have specialized jaws for removing snails from shells.
Death Adder,Animalia,Chordata,Reptilia,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,The Death Adder is more closely related to the Cobra than other Australian snakes.
Deaths Head Cockroach,Animalia,Arthropoda,Insecta,Blattodae,Blaberidae,Blaberus,Blaberus craniifer,People buy Death's Head Cockroach nymphs and raise them as pets!
Deathwatch Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Ptinidae,Xestobium,Xestobium rufovillosum,The adult deathwatch beetle taps on the wood to find a mate.
Decorator Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Majoidea,,,Recycle old decorations when they molt
Deer Head Chihuahua,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The Chihuahua is the smallest dog breed in the world.
Deer Mouse,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,,Roughly 60 different species of deer mice range from Canada to Central America!
Deer Tick,Animalia,Arthropoda,Arachnida,Idodida,Ixodidae,Ixodes,Ixodes scapularis,Commonly found on white-tailed deer
Deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus virginiana,,There are around 40 different species!
Deinocheirus,Animalia,Chordata,Deinocheiridae,Deinocheirus,Deinocheirus mirificus,,,"Despite being bipedal, Deinocheirus had a large forearm"
Deinosuchus,Animalia,Chordata,Reptilia,Crocodilia,Alligatoroidea,Deinosuchus,Deinosuchus hatcheri,Deinosuchus was probably the biggest crocodilian that ever lived
Desert Ghost Ball Python,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,Desert ghost ball pythons are even more beautiful when they're bred with another type like enchi ball pythons.
Desert Kingsnake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis splendida,The desert kingsnake rolls over and plays dead when it feels threatened.
Desert Locust,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca,Schistocerca gregaria,Solitary locusts are grey while gregarious locusts are yellow with stripes.
Desert Rain Frog,Animalia,Chordata,Amphibia,Anura,Brevicipitidae,Breviceps,Breviceps macrops,The desert rain frog doesn't hop
Desert Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus,Gopherus Agassizii,Lives in burrows underground!
Desert Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus arabs,These tiny wolves prefer to cohabitate in pairs or groups of three (generally two males and a female).
Desmostylus,Animalia,Chordata,Mammalia,Desmostylia,Desmostylidae,Desmostylus,Desmostylus japonicus,Desmostylus has no living descendant.
Deutsche Bracke,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Has long drop ears and a long narrow tail!
Devils Coach Horse Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Ocypus,Ocypus olens,The Devil’s coach horse beetle can emit a noxious substance to deter predators
Devon Rex,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,
Dhole,Animalia,Chordata,Mammalia,Carnivora,Canidae,Cuon,Cuon alpinus,"Only 2,000 left in the wild!"
Diamond Python,Animalia,,,,,,,These pythons live at higher altitudes and further south than any other python species.
Diamondback Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Plutellidae,Plutetalla,Plutella xylostella,Adult males make high amplitude boing noise to attract females
Dickcissel,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Spiza,Spiza americana,They have a unique call that they are named for.
Dickinsonia,Animalia,,,,,,,
Dik Dik,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua,Madoqua,Dik-diks use a tar-like liquid from their eye glands to mark their territory!
Dilophosaurus,Animalia,Chordata,Reptilia,Saurischia,Dilophosauridae,Dilophosaurus,Dilophosaurus wetherilli,Dilophosaurus was the largest predatory dinosaur in North America during the Early Jurassic Epoch of the Jurassic Period.
Dimetrodon,Animalia,Chordata,Sphenacodontidae,Dimetrodon,Dimetrodon limbatus,,,Dimetrodon was among the largest predators of the Early Permian Period.
Diminutive Woodrat,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nelsonia,"Nelsonia goldmani goldmani, Nelsonia goldmani cliftoni, Nelsonia neotomodon",The presence of a Nelsonia tail in a tree indicates that these woodrats may be arboreal at times.
Dingo,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus Dingo,Natively found on the Australian continent!
Dinocrocuta,Animalia,Chordata,Mammalia,Carnivora,Percrocutidae,Dinocrocuta,Dinocrocuta gigantea,Dinocrucuta had very strong jaws capable of crushing bones.
Dinofelis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Dinofelis,,
Dinopithecus,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Dinopithecus,D. ingens,The only species currently recognized of this ancient baboon is Dinopithecus ingens.
Dinosaur Shrimp,Animalia,Arthropoda,Branchiopoda,Notostraca,Triopsidae,Triops,T. longicaudatus,"These ""shrimp"" evolved to survive very harsh climates, which is one reason they have been able to live so long."
Dinosaurs,Animalia,,,,,,,
Diplodocus,Animalia,Chordata,Reptilia,Saurischia,Diplodocidae,Diplodocus,Diplodocus longus,Their long tales could have been used as a whip!
Diprotodon,Animalia,Annelida,Mammalia,Diprotodontia,Diprotodontidae,Diprotodon,Diprotodon optatum,Diprotodon was the largest marsupial that ever lived.
Dire Wolf,Animalia,,,,,,,
Disco Clam,Animalia,Mollusca,Bivalvia,Limida,Limidae,Ctenoides,C. ales,Can spray acidic mucus at predators
Discus,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Symphysodon,,The discus can change its colors slightly based on personal and environmental factors
Diving Bell Spider Water Spider,Animalia,,,,,,,Diving bell spiders can breathe underwater using an air bubble on their abdomen
Diving Duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,,,Diving ducks can forage for food at depths of over 40 feet and stay underwater for up to one minute.
Doberman Pinscher,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,"A gentle, loyal and loving breed!"
Dobsonfly,Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,,,"The dobsonfly spends up three years as a larva, and only a week as an adult."
Dodo,Animalia,Chordata,Aves,Columbiformes,Columbidae,Raphus,Raphus cucullatus,The dodo was a completely flightless bird.
Doedicurus,Animalia,Chordata,Mammalia,Cingulata,Chlamyphoridae,Doedicurus,Doedicurus clavicaudatus,Deodicurus was one of the largest glyptodonts to have ever lived.
Dog Tick,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Dermacentor,Dermacentor variabilis,Dog ticks feed on dogs and other mammals
Dog,,,,,,,,
Dogo Argentino,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Loyal and affectionate to their family!
Dogue De Bordeaux,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Extremely loyal and devoted to it's master!
Dolphin,Animalia,Chordata,Mammalia,Cetacean,Delphinidae,,,"Dolphins can travel in superpods of more than 1,000 individuals!"
Donkey,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus Asinus,"First domesticated 5,000 years ago!"
Dorgi,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The Dorgi is one of the more popular mixed breed dogs.
Dorkie,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Dorkies are so laid-back they sometimes need extra incentive to exercise each day.
Dorking Chicken,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus domesticus,"They are docile birds, so do not mix them with dominant breeds like Cornish chickens and Old English Game.; otherwise, they will quickly fall to the bottom of the pecking order."
Dormouse,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Gliridae,,"Found in Europe,
            
             Africa
            
            and Asia!"
Double Doodle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Exact origin unknown.
Douc,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Pygathrix,,"When these monkeys want to mate, they wiggle their eyebrows."
Downy Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,D. pubescens,
Doxiepoo,Animalia,Chordata,Mammalia,,,,,Doxiepoos are an unpredictable breed that can come in a variety of appearances and sizes.
Doxle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,canis lupus familiaris,Doxles have long floppy ears
Draco Volans,Animalia,Chordata,Reptilia,Squamata,Agamidae,Draco,Draco volans,Beneath the lizard’s “wings” are a pair of enlarged ribs for support.
Dragon Eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Enchelycore,Enchelycore pardalis,Dragon eels have double jaws and two sets of razor-sharp teeth
Dragon Snake Javan Tubercle Snake Javan Mudsnake,Animalia,Chordata,Reptilia,Squamata,Xenodermidae,Xenodermus,Xenodermus javanicus,Sport three rows of raised dorsal scales
Dragonfish,Animalia,Chordata,Actinopterygii,Syngnathiformes and Stomiiformes,Stomiidae and Pegasidae,Eurypegasus,,Dragonfish can emit red light from their eyes
Dragonfly,Animalia,Arthropoda,Insecta,Odonata,Anisoptera,,,It's larvae are carnivorous!
Dreadnoughtus,Animalia,,,,,,,
Drever,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Drevers got their name from a naming contest in 1947.
Dromornis Stirtoni,Animalia,Chordata,Aves,Dromornithiformes,Dromornithidae,Dromornis,Dromornis stirtoni,
Drum Fish,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Sciaenidae,,The drum fish makes a croaking sound with its swimming bladder!
Dubia Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Blaptica,Blaptica dubia,The most popular species of feeder roach
Duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,,,Rows of tiny plates line their teeth!
Dugong,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong Dugon,Closely related to the Manatee!
Dumerils Boa,Animalia,Chordata,Reptilia,Squamata,Boidae,Acrantophis,Acrantophis dumerili,Some tribes believe that the snake's skin holds the souls of their ancestors.
Dung Beetle,Animalia,Arthropoda,Insecta,Coleoptera,,,,The dung beetle can push objects many times its own weight
Dungeness Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,
Dunker,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,A friendly and relaxed dog!
Dunkleosteus,Animalia,Chordata,Trichoplacoidea,Arthodira,Dunkleosteidae,Dunkleosteus,Dunkleosteus terrelli,Dunkleosteus had a bite force strong enough to cut through pirey.
Dunnock,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella modularis,Both male and female dunnocks can have multiple mates every breeding season
Dusky Dolphin,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lagenorhynchus,Lagenorhynchus obscurus,"Communicates using whistles, squeaks and clicks!"
Dusky Shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus obscurus,The Dusky Shark sometimes eats trash discarded by humans.
Dutch Rabbit,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus Cuniculus,
Dutch Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,
Dwarf Boa,Animalia,Chordata,Reptilia,Squamata,Boidae & Tropidophidiiae,Various,Various,"Some species can change color from dark to light, and back again."
Dwarf Crocodile,Animalia,Chordata,Crocodilia,Crocodylidae,Osteolaemus,Osteolaemus tetraspis,,Digs burrows in river banks to rest!
Dwarf Gourami,Animalia,Chordata,Actinopterygii,Anabantiformes,Osphronemidae,Trichogaster,Trichogaster lalius,Dwarf gourami can live for over four years with proper care.
Dwarf Hamster,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus barabensis,dwarf hamsters love to explore at night.
Eagle Ray,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Aetomylaesus,,Eagle rays are massive bottom feeding fish that can weigh as much as 500 lbs!
Eagle,Animalia,Chordata,Aves,Falconiformes,Accipitridae,,,Has exceptional eyesight!
Eared Grebe,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps nigricollis,The most populous grebe in the world
Earless Monitor Lizard,Animalia,Chordata,Reptilia,Squamata,Lanthanotidae,Lanthanotus,Lanthanotus borneensis,These lizards can practically shut down their metabolism and appear comatose for long periods.
Earthworm,Animalia,Annelida,Clitellata,Opisthopora,Limbricidae,Lumbricus Linnaeus,Lumbricina,"They are hermaphrodites, which means they have male and female organs"
Earwig,Animalia,Arthropoda,Insecta,Dermaptera,,,,"There are nearly 2,000 different species!"
East Siberian Laika,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,"Because East Siberian Laikas are from a very cold region, they shed heavily and require a lot of grooming."
Eastern Barred Bandicoot,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Perameles,Perameles gunnii,Digs funnel-shaped holes in search of insects
Eastern Bluebird,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,Sialia sialis,"Bluebirds drop straight down on their prey from their perch, much like leopards."
Eastern Box Turtle,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,Terrapene carolina carolina,"When injured or damaged, the shell of the eastern box turtle can regenerate"
Eastern Brown Snake,Animalia,Chordata,Reptilia,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,
Eastern Chipmunk,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,The name chipmunk is derived from an Ojibwe word that means “one who descends the trees headfirst.”
Eastern Coral Snake,Animalia,Chordata,Reptilia,Squamata,Elapidae,Micrurus,Micrurus fulvius,One of the most dangerous snakes in the USA.
Eastern Cottontail,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus,Can run up to 18 miles per hour
Eastern Diamondback Rattlesnake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. adamanteus,"This is the biggest venomous snake in North America, with a few that reach 8 feet long."
Eastern Dobsonfly,Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,Corydalus,Corydalus cornutus,"They are quite vicious and, when provoked, will administer a painful bite that stings for a long time."
Eastern Fence Lizard,Animalia,Chordata,Reptilia,Squamata,Phyrnosomatidae,Sceloporus,Sceloporus undulatas,Females are usually larger than males.
Eastern Glass Lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Ophisaurus,Ophisaurus ventralis,When the glass lizard loses its tail it can grow another one. But the new tail lacks the markings of the old one and is usually shorter.
Eastern Gorilla,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla berengei,The largest primate in the world!
Eastern Gray Squirrel,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,Eastern gray squirrels use both memory and scent to find their buried caches of food during the winter.
Eastern Green Mamba,Animalia,Chordata,Reptilia,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,"It is completely arboreal, and its green color is one of the adaptations that make life in the trees possible."
Eastern Hognose Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Heterodon,Heterodon platirhinos,"Eastern hognose snakes are venomous, but only to frogs and toads."
Eastern Indigo Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Drymarchon,Drymarchon couperi,Eastern Indigo snakes regularly chase down and eat rattlesnakes and may be immune to their venom.
Eastern Kingbird,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus tyrannus,The eastern kingbird is a fierce fighter once known as the butcher king!
Eastern Lowland Gorilla,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla Berengei Graueri,"Less than 5,000 in the wild!"
Eastern Meadowlark,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,Sturnella Magna,They can live up to 9 years.
Eastern Phoebe,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,Sayornis phoebe,This passerine bird can sing its song without ever hearing another bird vocalize first.
Eastern Racer,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber constrictor,Fast and Furious!
Eastern Rat Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,Pantherophis alleghaniensis,"Rat snakes are medium-to-large, nonvenomous snakes that kill by constriction."
Eastern Tiger Snake,Animalia,Chordata,Reptilia,Scaled Reptiles,Elapid snakes,Notechis,Notechis scutatus,More than 10 percent of eastern tiger snakes are blind in at least one eye.
Eastern Turkey Wild Turkey,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo silvestris,You can hear their gobbles up to a mile away!
Eastern Woodrat,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotama,Neotama floridana,The eastern woodrat mating ritual involves a potentially deadly fight between the male and female before reproduction begins!
Echidna,Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,Tachyglossus,Tachyglossus Aculeatus,Also known as the Spiny Anteater!
Eclectus Parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eclectus,Eclectus roratus,Does not squawk like other parrot species.
Edible Frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax kl. esculentus,Known to guard the muddy banks!
Eel Catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Channallabes,Channallabes apus,Eel catfish breathe air and reach up on land to catch beetles. Scientists think they may be a missing link between fish and lizards.
Eel,Animalia,Chordata,Actinopterygii,Anguilliformes,,,,Eels can be a mere few inches long to 13 feet!
Eelpout,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Zoarcidae,,,"Not actually ""eels"""
Egret,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,"Egretta, Ardea, Bubulcus, Mesophoyx","Ardea alba, Bubulcus ibis, and others","Most species are relatively vocal, making harsh croaking sounds and squeals."
Egyptian Cobra,Animalia,Chordata,Reptilia,squamata,Elapidae,Naja,Naja haje,The Egyptian cobra is one of the largest cobras in Africa.
Egyptian Goose,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,Alopochen aegyptiacus,A duck species that resembles a goose when flying
Egyptian Mau,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,An ancient breed of domestic cat!
Egyptian Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,Testudo kleinmanni,The Egyptian tortoise is one of the smallest tortoise species in the world.
Egyptian Vulture,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Neophron,Neophron percnopterus,They steal large ostrich eggs and use rocks and pebbles to crack the shells.
Eider,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,"S. mollissima, S. fischeri, S. spectabilis","Eiders are sexually dimorphic, with males being larger and more colorful."
Eland,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Taurotragus,Taurotragus oryx,Both females and males have horns.
Elasmosaurus,Animalia,Chordata,Reptilia,†Plesiosauria,†Elasmosauridae,†Elasmosaurus,†Elasmosaurus platyurus,Elasmosaurus is an extinct reptile species.
Elasmotherium,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,†Elasmotherium,†Elasmotherium sibiricum,"Elasmotherium might have had a monstrous horn, giving it the name ""The Siberian Unicorn."""
Electric Catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Malapteruridae,,,The electric catfish can discharge an electric shock up to 450 volts
Electric Eel,Animalia,Chordata,Actinopterygii,Gymnotiformes,Gymnotidae,Electrophorus,Electrophorus Electricus,"Despite its powerful shock, electric eels have terrible vision."
Elegant Tern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Thalasseus elegans,Have a lifespan of 20 years or more
Elephant Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Megasoma,Megasoma elephas,The males have multiple horns at the front of their bodies.
Elephant Bird,Animalia,Chordata,Aves,Aepyornithiformes,Aepyornithidae,,,"Vorombe titan, a type of elephant bird, is the largest bird that ever lived"
Elephant Fish,Animalia,Chordata,Chondrichthyes,Holocephali,Chimaeriformes,Callorhinchus,Callorhinchus Milii,"Elephant fish are known as the Australian ghost shark, but they are not actually a shark species!"
Elephant Seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga,The largest species of seal in the world!
Elephant Shrew,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus,Found exclusively on the African continent!
Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,,,Spends around 22 hours a day eating!
Elf Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Micrathene,Micrathene Whitneyi,The elf owl is the smallest and lightest owl in the world
Elk,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus canadensis,Adult males can jump eight feet vertically
Ember Tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon amandae,Ember tetras are one of the smallest shoaling fish in the world
Embolotherium,Animalia,Chordata,Mammalia,Perissodactyla,Brontoteriidae,Embolotherium,Embolotherium andrewsi,Embolotherium had a ram on its snout like a rhino but they never used it as a weapon.
Emerald Toucanet,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,Aulacorhynchus prasinus,"Emerald Toucanets spend their lives high in the canopy of tall forests, almost never coming to the ground!"
Emerald Tree Boa,Animalia,Chordata,Reptilia,Squamata,Boidae,Corallus,Corallus caninus and Corallus batesii,Their teeth are as long as a fully-grown reticulated python
Emerald Tree Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus prasinus,They lay their eggs in termite nests!
Emperor Angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus,P. imperator,Their distinct neon colors allow them to locate other emperor angelfish to mate with
Emperor Goose,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser canagicus,"Their calls sound like a nasally “kla-ha, kla-ha, kla-ha.”"
Emperor Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,The world's largest species of penguin!
Emperor Tamarin,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus Imperator,Has an elegant white moustache!
Emu,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Dromaius,Dromaius novaehollandiae,The largest bird in Australia!
Enchi Ball Python,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,
English Bulldog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Bulldogs were originally bred to “pin” bulls.
English Cocker Spaniel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Intelligent yet stubborn by nature!
English Cream Golden Retriever,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Although their coats can get incredibly light in color, golden retrievers never have purely white coats."
English Crested Guinea Pig,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,"Contrary to their name, English crested guinea pigs did not originate in the UK"
English Foxhound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"English Foxhounds were bred to work and live in a pack. Because of this, this breed is happiest when they are around other dogs."
English Longhorn Cattle,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos primigenius Taurus,"Although they look similar to the Texas Longhorn, they are not closely related."
English Pointer,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,
English Setter,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,English Setters were first bred between 400 and 500 years ago.
English Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Highly intelligent and independent!
English Springer Spaniel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Friendly and eager to please!
English Toy Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,
