Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Quote
Alaskan Klee Kai,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Alaskan Klee Kais love to communicate with their families. In addition to barking, they make other vocalizations, such as yodeling and howling."
Alaskan Malamute,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Often used as sled dogs!
Alaskan Pollock,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,It's one of the most commonly eaten fish in the world
Alaskan Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,This dog’s Malamute ancestors once came to America across the Bering Strait.
Albacore Tuna,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus alalunga,The albacore is a very fast swimmer
Albatross,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedeidae,,The largest wingspan of any bird in the world!
Albertonectes,Animalia,Chordata,Reptilia,Plesiosauria,Elasmosauridae,Albertonectes,Albertonectes vanderveldei,The Albertonectes had the longest neck out of other Elasmosaurids.
Albino Amelanistic Corn Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,Pantherophis guttatus,Albino corn snakes make great beginner snakes.
Aldabra Giant Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone,Geochelone gigantea,One got to be 255 years old!
Alligator Gar,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus spatula,The alligator gar has toxic eggs to protect against predators
Alligator,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,Alligator mississippiensis,They have two sets of eyelids!
Allosaurus,Animalia,Chordata,Allosauridae,Allosaurus,Allosaurus fragilis,,,Allosaurus is the official state fossil of Utah because of the abundant number of fossils found in the state.
Alosaurus,Animalia,Chordata,Reptilia,Saurischia,Allosauridae,Allosaurus,Allosaurus fragilis,Differnt Lizard” or Allosaurus weighed around two tonnes that is almost equal to a car.
Alpaca,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,Vicugna pacos,They can spit up to 10 feet.
Alpine Dachsbracke,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,It’s known as a cold-nose hound because it can pick up a scent on a trail that’s gone cold.
Alpine Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,"Alpine goats are the most common type of goat used for milk, cheese, and other dairy products"
Alusky,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"An Alusky loves to dig, so make sure your fence is planted deep in the ground to prevent any escapes!"
Amano Shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Atyidae,Caridina,Caridina multidentata,Popular kept in aquariums to keep them clean
Amargasaurus,Animalia,Chordata,Dicraeosauridae,Amargasaurus,Amargasaurus cazaui,,,
Amazon Parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,,"These parrots can be trained to be ""talking birds"" that mimic human speech"
Amazon Tree Boa,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Corallus,Corallus hortulanus,Amazon tree boas come in a rainbow of colors.
Amazonian Royal Flycatcher,Animalia,,,,,,,They use their bright royal-looking crests during mating season
Amberjack,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Seriola,Seriola,Amberjack can grow up to 200 pounds
Ambrosia Beetle,Animalia,Arthropoda,Insecta,Coleoptera,,,,The ambrosia beetle forms a symbiotic relationship with the ambrosia fungi
American Alsatian,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,
American Bulldog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,American bulldogs are working dogs that have been used on farms and ranches across the country.
American Bully,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Though the American bully was bred to look intimidating, it makes an extremely friendly family pet!"
American Cocker Spaniel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Merry, outgoing, and eager to please!"
American Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana,"Despite its name, actually originated from Africa and the Middle East"
American Coonhound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,American coonhounds have the skills to climb trees while pursuing a raccoon or other animal.
American Dog Tick,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Dermacentor,Dermacentor variabilis,Main vector of Rocky Mountain spotted fever
American Eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,Don't eat raw eel! Their blood is poisonous to humans when consumed raw.
American Eskimo Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The American Eskimo was once a part of the Barnum and Bailey Circus with which it would tour the country and perform for astounded audiences.
American Foxhound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The American Foxhound is the state dog of Virginia.
American Hairless Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The American hairless terrier comes in two varieties with one having a very short coat.
American Leopard Hound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,This breed is also known as the American Leopard Cur. The name was formally changed to American Leopard Hound in 2008.
American Paddlefish,Animalia,Chordata,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon,Polyodon spathula,
American Pit Bull Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,These dogs are very energetic and would be up for a game at any given point of time
American Pugabull,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"American Pugabulls are medium-sized dogs that weigh between 25 to 70 pounds, and their height measures 12 to 20 inches at the shoulder."
American Pygmy Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,Can jump up to 5 feet
American Robin,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus Linnaeus,Turdus migratorius,The color “Robin egg blue” is named after the hue of their eggs.
American Staffordshire Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,The American Staffordshire Terrier got its name to distinguish it from the English Staffordshire Terriers that these dogs are originally descended from.
American Toad,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus americanus,They secrete a milky poisonous liquid that can make many animals sick.
American Water Spaniel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Friendly and intelligent!
American Wirehair,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,American Wirehairs often play fetch with their owners
Amethystine Python,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Simalia,Simalia amethistina,"Their milky-iridescent scales have a purplish hue in the light, reminiscent of the gemstone."
