N,Precision,Recall,F-Measure
1,1.0,0.05263157894736842,0.1
2,0.5,0.05263157894736842,0.09523809523809525
3,0.3333333333333333,0.05263157894736842,0.09090909090909091
4,0.25,0.05263157894736842,0.08695652173913043
5,0.4,0.10526315789473684,0.16666666666666666
6,0.5,0.15789473684210525,0.23999999999999996
7,0.5714285714285714,0.21052631578947367,0.3076923076923077
8,0.625,0.2631578947368421,0.37037037037037035
9,0.6666666666666666,0.3157894736842105,0.42857142857142855
10,0.6,0.3157894736842105,0.41379310344827586
11,0.6363636363636364,0.3684210526315789,0.4666666666666667
12,0.6666666666666666,0.42105263157894735,0.5161290322580646
13,0.6923076923076923,0.47368421052631576,0.5625
14,0.6428571428571429,0.47368421052631576,0.5454545454545454
15,0.6,0.47368421052631576,0.5294117647058824
16,0.625,0.5263157894736842,0.5714285714285714
17,0.6470588235294118,0.5789473684210527,0.6111111111111113
18,0.6111111111111112,0.5789473684210527,0.5945945945945946
19,0.631578947368421,0.631578947368421,0.631578947368421
20,0.65,0.6842105263157895,0.6666666666666667
21,0.6190476190476191,0.6842105263157895,0.6500000000000001
22,0.5909090909090909,0.6842105263157895,0.6341463414634148
23,0.5652173913043478,0.6842105263157895,0.6190476190476191
24,0.5833333333333334,0.7368421052631579,0.6511627906976745
25,0.6,0.7894736842105263,0.6818181818181819
26,0.6153846153846154,0.8421052631578947,0.7111111111111111
27,0.6296296296296297,0.8947368421052632,0.7391304347826088
28,0.6428571428571429,0.9473684210526315,0.7659574468085106
29,0.6206896551724138,0.9473684210526315,0.75
30,0.6333333333333333,1.0,0.7755102040816326

