Name,[features],score
Keagle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=3.622953,queryMatchMigratory=0.0,queryMatchText=5.7944894,originalScore=8.691734",5.0
Nova Scotia Duck Tolling Retriever,"queryMatchName=2.7420187,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.804531,queryMatchMigratory=0.0,queryMatchText=5.6559587,originalScore=8.483938",5.0
Wirehaired Vizsla,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.592811,originalScore=8.389216",5.0
Beaski,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.544828,originalScore=8.317242",5.0
English Foxhound,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.1125107,queryMatchMigratory=0.0,queryMatchText=5.5396934,originalScore=8.30954",5.0
Pitsky,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.9825163,queryMatchMigratory=0.0,queryMatchText=5.4566836,originalScore=8.185026",3.0
Blue Picardy Spaniel,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.408512,originalScore=8.112768",5.0
Ainu,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.8832673,queryMatchMigratory=0.0,queryMatchText=5.3943496,originalScore=8.091524",5.0
Pointer Mix,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.3816624,originalScore=8.072494",5.0
Spanador,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.277225,originalScore=7.915838",5.0
Labahoula,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.4496305,queryMatchMigratory=0.0,queryMatchText=5.2685533,originalScore=7.90283",5.0
Azawakh,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.235448,originalScore=7.8531713",5.0
Pitador,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.0866013,queryMatchMigratory=0.0,queryMatchText=5.188687,originalScore=7.78303",5.0
Blue Lacy Dog,"queryMatchName=3.4102473,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.177629,originalScore=7.7664433",5.0
Afghan Hound,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=10.021632,queryMatchMigratory=0.0,queryMatchText=5.1717935,originalScore=7.75769",5.0
Dalmadoodle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.159968,queryMatchMigratory=0.0,queryMatchText=5.1588583,originalScore=7.738287",5.0
Shollie,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.156592,originalScore=7.7348876",3.0
