Name,[features],score
American Eskimo Dog,"queryMatchName=3.4102473,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.7868949,queryMatchMigratory=0.0,queryMatchText=5.1440697,originalScore=7.716104",3.0
Boxer Mix,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.0688505,queryMatchMigratory=0.0,queryMatchText=5.115437,originalScore=7.6731553",4.0
Cockalier,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.326821,queryMatchMigratory=0.0,queryMatchText=5.10824,originalScore=7.66236",5.0
Comfort Retriever,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.0920978,originalScore=7.638147",5.0
Petit Basset Griffon Vendeen,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.252774,queryMatchMigratory=0.0,queryMatchText=5.080774,originalScore=7.621161",5.0
Shiba Inu Mix,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.0294213,originalScore=7.544132",2.0
Vizsla,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.027271,originalScore=7.540906",5.0
Poodle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.018788,originalScore=7.5281816",5.0
Wire Fox Terrier,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.159968,queryMatchMigratory=0.0,queryMatchText=5.0090337,originalScore=7.5135503",5.0
Yorkie Poo,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.0080395,originalScore=7.512059",1.0
American Bulldog,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.829464,queryMatchMigratory=0.0,queryMatchText=5.006101,originalScore=7.5091515",5.0
Shepadoodle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=4.9945493,originalScore=7.491824",4.0
Miniature Husky,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=4.961944,originalScore=7.442916",3.0
