N,Precision,Recall,F-Measure
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.16666666666666666,0.3333333333333333,0.2222222222222222
7,0.14285714285714285,0.3333333333333333,0.2
8,0.125,0.3333333333333333,0.18181818181818182
9,0.1111111111111111,0.3333333333333333,0.16666666666666666
10,0.1,0.3333333333333333,0.15384615384615383
11,0.09090909090909091,0.3333333333333333,0.14285714285714288
12,0.08333333333333333,0.3333333333333333,0.13333333333333333
13,0.07692307692307693,0.3333333333333333,0.125
14,0.07142857142857142,0.3333333333333333,0.11764705882352941
15,0.06666666666666667,0.3333333333333333,0.1111111111111111
16,0.0625,0.3333333333333333,0.10526315789473684
17,0.058823529411764705,0.3333333333333333,0.1
18,0.05555555555555555,0.3333333333333333,0.09523809523809525
19,0.05263157894736842,0.3333333333333333,0.09090909090909091
20,0.1,0.6666666666666666,0.1739130434782609
21,0.09523809523809523,0.6666666666666666,0.16666666666666666
22,0.09090909090909091,0.6666666666666666,0.16
23,0.08695652173913043,0.6666666666666666,0.15384615384615383
24,0.125,1.0,0.2222222222222222
25,0.12,1.0,0.21428571428571425
26,0.11538461538461539,1.0,0.20689655172413793
27,0.1111111111111111,1.0,0.19999999999999998
28,0.10714285714285714,1.0,0.19354838709677416
29,0.10344827586206896,1.0,0.1875
30,0.1,1.0,0.18181818181818182

