N,Precision,Recall,F-Measure
1,0.0,0.0,0
2,0.5,0.25,0.3333333333333333
3,0.3333333333333333,0.25,0.28571428571428575
4,0.25,0.25,0.25
5,0.2,0.25,0.22222222222222224
6,0.16666666666666666,0.25,0.2
7,0.14285714285714285,0.25,0.18181818181818182
8,0.125,0.25,0.16666666666666666
9,0.1111111111111111,0.25,0.15384615384615383
10,0.1,0.25,0.14285714285714288
11,0.18181818181818182,0.5,0.26666666666666666
12,0.16666666666666666,0.5,0.25
13,0.23076923076923078,0.75,0.3529411764705882
14,0.21428571428571427,0.75,0.3333333333333333
15,0.2,0.75,0.31578947368421056
16,0.1875,0.75,0.3
17,0.17647058823529413,0.75,0.2857142857142857
18,0.16666666666666666,0.75,0.27272727272727276
19,0.15789473684210525,0.75,0.2608695652173913
20,0.15,0.75,0.24999999999999997
21,0.14285714285714285,0.75,0.24
22,0.13636363636363635,0.75,0.23076923076923075
23,0.13043478260869565,0.75,0.22222222222222218
24,0.125,0.75,0.21428571428571427
25,0.16,1.0,0.2758620689655173
26,0.15384615384615385,1.0,0.2666666666666667
27,0.14814814814814814,1.0,0.25806451612903225
28,0.14285714285714285,1.0,0.25
29,0.13793103448275862,1.0,0.2424242424242424
30,0.13333333333333333,1.0,0.23529411764705882

