Name,[features]
American Toad,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=9.055568,queryMatchMigratory=0.0,queryMatchText=6.514911,originalScore=9.172876"
Spongy Moth 2,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=8.586795,queryMatchMigratory=0.0,queryMatchText=6.1095157,originalScore=8.614365"
Blackburnian Warbler,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.811781,queryMatchMigratory=0.002040609,queryMatchText=6.371592,originalScore=8.982827"
Giant Desert Centipede,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.8802156,queryMatchMigratory=0.0,queryMatchText=6.1993613,originalScore=8.758218"
Canvasback,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.8802156,queryMatchMigratory=0.002040609,queryMatchText=6.056476,originalScore=8.513271"
Gray Catbird,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.0434566,queryMatchMigratory=0.002040609,queryMatchText=6.6280656,originalScore=9.366554"
Blue Grosbeak,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.8793797,queryMatchMigratory=0.002040609,queryMatchText=6.2092853,originalScore=8.755267"
Roadrunner,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.2572927,queryMatchMigratory=0.0,queryMatchText=6.5090938,originalScore=9.195947"
Water Beetle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.252763,queryMatchMigratory=0.0,queryMatchText=6.061111,originalScore=8.582234"
Northern Jacana,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.160329,queryMatchMigratory=0.0,queryMatchText=6.5207033,originalScore=9.217549"
Deer Mouse,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.9923296,queryMatchMigratory=0.0,queryMatchText=6.179032,originalScore=8.69868"
Yellowthroat,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.536116,queryMatchMigratory=0.002040609,queryMatchText=6.5407896,originalScore=9.218489"
Herring Gull,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.570818,queryMatchMigratory=0.002040609,queryMatchText=6.4992204,originalScore=9.16265"
Western Tanager,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=3.7357733,queryMatchMigratory=0.002040609,queryMatchText=6.761189,originalScore=9.547066"
Sucker Fish,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.147067,queryMatchMigratory=0.0,queryMatchText=6.3065805,originalScore=8.905885"
Caecilian,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.218605,queryMatchMigratory=0.0,queryMatchText=6.0372143,originalScore=8.531163"
