Name,[features]
Afghan Hound,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=11.602613,queryMatchMigratory=0.0,queryMatchText=5.0742483,originalScore=7.6113725"
Dachshund Mix,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=9.062567,queryMatchMigratory=0.0,queryMatchText=5.0559273,originalScore=7.5838904"
German Sheppit,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=9.152491,queryMatchMigratory=0.0,queryMatchText=4.642977,originalScore=6.9644656"
Black Russian Terrier,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=8.036842,queryMatchMigratory=0.0,queryMatchText=4.662652,originalScore=6.993978"
Rotterman,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.778186,queryMatchMigratory=0.0,queryMatchText=4.6502266,originalScore=6.97534"
Bracco Italiano,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=8.357097,queryMatchMigratory=0.0,queryMatchText=4.0394635,originalScore=6.059195"
Springerdoodle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.2090454,queryMatchMigratory=0.0,queryMatchText=4.8264956,originalScore=7.2397437"
Lagotto Romagnolo,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.503681,queryMatchMigratory=0.0,queryMatchText=5.1743245,originalScore=7.7614865"
Boxerdoodle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.5744705,queryMatchMigratory=0.0,queryMatchText=4.9840727,originalScore=7.4761086"
Gerberian Shepsky,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.799937,queryMatchMigratory=0.0,queryMatchText=5.2349286,originalScore=7.852392"
Polish Lowland Sheepdog,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.8520594,queryMatchMigratory=0.0,queryMatchText=5.0776076,originalScore=7.616411"
Keagle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.513145,queryMatchMigratory=0.0,queryMatchText=5.1972537,originalScore=7.7958803"
Pitador,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.0004215,queryMatchMigratory=0.0,queryMatchText=4.7381654,originalScore=7.1072474"
Westiepoo,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.914947,queryMatchMigratory=0.0,queryMatchText=4.7604504,originalScore=7.1406755"
Smooth Fox Terrier,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.77207,queryMatchMigratory=0.0,queryMatchText=4.828615,originalScore=7.2429233"
Czechoslovakian Wolfdog,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.978471,queryMatchMigratory=0.0,queryMatchText=4.6250277,originalScore=6.9375415"
Schneagle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.7910833,queryMatchMigratory=0.0,queryMatchText=4.7296166,originalScore=7.094425"
Mudi,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.6126165,queryMatchMigratory=0.0,queryMatchText=4.8224015,originalScore=7.2336025"
Portuguese Podengo,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.451747,queryMatchMigratory=0.0,queryMatchText=4.0375915,originalScore=6.0563874"
Yorkshire Terrier,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.1397724,queryMatchMigratory=0.0,queryMatchText=3.9561956,originalScore=5.9342937"
Giant Schnoodle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.2261853,queryMatchMigratory=0.0,queryMatchText=3.7788577,originalScore=5.668287"
Catahoula Leopard,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.530309,queryMatchMigratory=0.0,queryMatchText=5.053245,originalScore=7.5798674"
Bedlington Terrier,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.9678698,queryMatchMigratory=0.0,queryMatchText=3.8614242,originalScore=5.7921367"
Cockalier,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.3281517,queryMatchMigratory=0.0,queryMatchText=5.0216312,originalScore=7.5324464"
Plott Hound Mix,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.2385693,queryMatchMigratory=0.0,queryMatchText=5.0866704,originalScore=7.6300054"
Parson Russell Terrier,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.472588,queryMatchMigratory=0.0,queryMatchText=4.880788,originalScore=7.3211823"
