Name,[features]
European Polecat,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=13.651695,queryMatchMigratory=0.0,queryMatchText=3.1637192,originalScore=4.745579"
Sable German Shepherd,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=12.51148,queryMatchMigratory=0.0,queryMatchText=3.1135247,originalScore=4.670287"
Uaru Cichlid,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=10.944458,queryMatchMigratory=0.0,queryMatchText=3.0897613,originalScore=4.634642"
Bigfin Reef Squid,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=10.164231,queryMatchMigratory=0.0,queryMatchText=3.2288828,originalScore=4.843324"
Rainbow Boa,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=9.971721,queryMatchMigratory=0.0,queryMatchText=3.016082,originalScore=4.524123"
American Eskimo Dog,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=9.617299,queryMatchMigratory=0.0,queryMatchText=3.0240362,originalScore=4.536054"
Christmas Island Red Crab,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=9.408589,queryMatchMigratory=0.0,queryMatchText=3.0202367,originalScore=4.530355"
Sphynx,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=9.24132,queryMatchMigratory=0.0,queryMatchText=3.057719,originalScore=4.5865784"
New Hampshire Red Chicken,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=9.036846,queryMatchMigratory=0.0,queryMatchText=3.2135627,originalScore=4.8203444"
Hoary Bat,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=8.636924,queryMatchMigratory=0.0,queryMatchText=3.147938,originalScore=4.721907"
Golden Tortoise Beetle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=8.421478,queryMatchMigratory=0.0,queryMatchText=3.1574411,originalScore=4.7361617"
Dwarf Boa,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=8.44462,queryMatchMigratory=0.0,queryMatchText=3.1108549,originalScore=4.666282"
Blood Python,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=8.314585,queryMatchMigratory=0.0,queryMatchText=3.1383944,originalScore=4.7075915"
Orange Crowned Warbler,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.9703827,queryMatchMigratory=0.0030609134,queryMatchText=3.2453663,originalScore=4.8680496"
Linnet 2,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.921037,queryMatchMigratory=0.0030609134,queryMatchText=3.195609,originalScore=4.7934136"
Dickcissel,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.9703827,queryMatchMigratory=0.0030609134,queryMatchText=3.0102646,originalScore=4.515397"
Ocean Pout,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.5652246,queryMatchMigratory=0.0030609134,queryMatchText=3.055586,originalScore=4.5833793"
Ornate Black Tailed Rattlesnake C Ornatus,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.449586,queryMatchMigratory=0.0,queryMatchText=3.122746,originalScore=4.684119"
Sambar,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.5065246,queryMatchMigratory=0.0,queryMatchText=3.054285,originalScore=4.5814276"
Dumerils Boa,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.40189,queryMatchMigratory=0.0,queryMatchText=3.1253984,originalScore=4.6880975"
Pollock Fish,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.034322,queryMatchMigratory=0.0,queryMatchText=3.1109834,originalScore=4.666475"
