Name,[features]
Freshwater Eel,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=13.386142,queryMatchMigratory=0.0,queryMatchText=10.210217,originalScore=15.315327"
Black Footed Ferret,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.935314,queryMatchMigratory=0.0,queryMatchText=9.549458,originalScore=14.324185"
Spongy Moth 2,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.9104815,queryMatchMigratory=0.0,queryMatchText=9.943394,originalScore=14.915091"
Orinoco Crocodile,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.1838665,queryMatchMigratory=0.0,queryMatchText=9.550367,originalScore=14.325551"
Fer De Lance Snake,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=3.8373046,queryMatchMigratory=0.0,queryMatchText=10.181458,originalScore=15.272189"
Kinkajou,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.1378956,queryMatchMigratory=0.0,queryMatchText=9.765891,originalScore=14.648836"
Eastern Diamondback Rattlesnake,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.131369,queryMatchMigratory=0.0,queryMatchText=9.690722,originalScore=14.536086"
American Coonhound,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.8898072,queryMatchMigratory=0.0,queryMatchText=10.607604,originalScore=15.911406"
Kit Fox,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.141821,queryMatchMigratory=0.0,queryMatchText=9.554129,originalScore=14.331194"
Piranha,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.141821,queryMatchMigratory=0.0,queryMatchText=9.438703,originalScore=14.158054"
Canadian Horse,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.605795,queryMatchMigratory=0.0,queryMatchText=10.656237,originalScore=15.984357"
Mule Deer,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.9763205,queryMatchMigratory=0.002040609,queryMatchText=10.309359,originalScore=15.464036"
Crappie Fish,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.1378956,queryMatchMigratory=0.0,queryMatchText=9.316271,originalScore=13.974406"
Eastern Cottontail,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=3.012486,queryMatchMigratory=0.0,queryMatchText=10.205184,originalScore=15.307775"
Bighorn Sheep,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.856673,queryMatchMigratory=0.0,queryMatchText=10.12953,originalScore=15.194295"
Racer Snake,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.941064,queryMatchMigratory=0.0,queryMatchText=10.012551,originalScore=15.018827"
American Eel,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.7088678,queryMatchMigratory=0.0,queryMatchText=10.719698,originalScore=16.079548"
Armyworm,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.6235375,queryMatchMigratory=0.0,queryMatchText=9.940031,originalScore=14.910047"
Giant Beaver,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.7746768,queryMatchMigratory=0.0,queryMatchText=9.771569,originalScore=14.657355"
Ribbon Snake,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.8359425,queryMatchMigratory=0.0,queryMatchText=9.649969,originalScore=14.474954"
American Cocker Spaniel,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.798898,queryMatchMigratory=0.0,queryMatchText=10.408146,originalScore=15.612219"
American Leopard Hound,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.6164137,queryMatchMigratory=0.0,queryMatchText=10.554562,originalScore=15.831842"
